cell_id,region,zone_type,users_multiplier,mae_valid_mbps,saturation_threshold_mbps,max_pred_j7_mbps,max_pred_j30_mbps,p_saturation_j7,p_saturation_j30,risk_level,p_worst
CELL_0014,OCC,rural,1.2,25.39,250.0,216.34,216.34,0.8165,0.997,HIGH,0.997
CELL_0004,PACA,suburban,1.2,25.18,450.0,406.89,406.89,0.956,0.9965,HIGH,0.9965
CELL_0002,OCC,urban,1.2,29.6,800.0,758.72,758.72,0.9385,0.943,HIGH,0.943
CELL_0019,PACA,urban,1.2,29.8,800.0,754.29,754.29,0.659,0.646,HIGH,0.659
CELL_0001,BRE,rural,1.2,24.98,250.0,193.77,193.77,0.0635,0.097,LOW,0.097
CELL_0009,IDF,suburban,1.2,24.87,450.0,377.26,377.26,0.03,0.0255,LOW,0.03
CELL_0015,BRE,rural,1.2,25.29,250.0,187.95,187.95,0.0295,0.0285,LOW,0.0295
CELL_0003,PACA,urban,1.2,29.3,800.0,727.95,727.95,0.0245,0.018,LOW,0.0245
CELL_0000,IDF,suburban,1.2,24.93,450.0,366.29,374.76,0.0,0.018,LOW,0.018
CELL_0010,HDF,urban,1.2,30.14,800.0,721.12,721.12,0.0095,0.014,LOW,0.014
CELL_0005,BRE,urban,1.2,29.44,800.0,701.42,701.42,0.0,0.0,LOW,0.0
CELL_0006,IDF,urban,1.2,29.79,800.0,689.35,689.35,0.0,0.0,LOW,0.0
CELL_0007,OCC,suburban,1.2,25.06,450.0,370.74,370.74,0.0,0.0,LOW,0.0
CELL_0008,NAQ,urban,1.2,29.69,800.0,709.87,709.87,0.0,0.0,LOW,0.0
CELL_0011,PDL,rural,1.2,24.76,250.0,163.5,163.5,0.0,0.0,LOW,0.0
CELL_0012,OCC,suburban,1.2,24.96,450.0,362.17,362.17,0.0,0.0,LOW,0.0
CELL_0013,BRE,urban,1.2,29.85,800.0,713.94,713.94,0.0,0.0,LOW,0.0
CELL_0016,HDF,urban,1.2,29.51,800.0,709.18,709.18,0.0,0.0,LOW,0.0
CELL_0017,NAQ,urban,1.2,29.55,800.0,693.39,693.39,0.0,0.0,LOW,0.0
CELL_0018,BRE,suburban,1.2,25.35,450.0,362.29,362.29,0.0,0.0,LOW,0.0
